region	quality	n	total	percent
PRH1	mid: >23, <=33	2	128	1.5625
PRH1	high: >33	126	128	98.4375
PRKCH	high: >33	128	128	100
PRKG1	high: >33	128	128	100
PRKG2	high: >33	128	128	100
PRR20A	very low: <= 17	19	120	15.8333333333333
PRR20A	low: >17, <= 23	11	120	9.16666666666667
PRR20A	mid: >23, <=33	1	120	0.833333333333333
PRR20A	high: >33	89	120	74.1666666666667
PSD3	high: >33	128	128	100
PTGER3	high: >33	128	128	100
PTH2R	high: >33	128	128	100
PTK6	very low: <= 17	1	124	0.806451612903226
PTK6	low: >17, <= 23	1	124	0.806451612903226
PTK6	mid: >23, <=33	1	124	0.806451612903226
PTK6	high: >33	121	124	97.5806451612903
RABGEF1	high: >33	128	128	100
RAG1	very low: <= 17	2	128	1.5625
RAG1	high: >33	126	128	98.4375
RBFOX3	high: >33	128	128	100
RCN1	high: >33	128	128	100
RGPD1	very low: <= 17	10	128	7.8125
RGPD1	mid: >23, <=33	8	128	6.25
RGPD1	high: >33	110	128	85.9375
RHCE	high: >33	126	126	100
RNASE1	high: >33	128	128	100
RNF150	high: >33	128	128	100
RNPEPL1	low: >17, <= 23	1	126	0.793650793650794
RNPEPL1	mid: >23, <=33	1	126	0.793650793650794
RNPEPL1	high: >33	124	126	98.4126984126984
ROBO1	high: >33	128	128	100
ROBO2	high: >33	128	128	100
RPL24	high: >33	128	128	100
RUNX1	high: >33	126	126	100
RYR1	low: >17, <= 23	2	128	1.5625
RYR1	mid: >23, <=33	3	128	2.34375
RYR1	high: >33	123	128	96.09375
SAMSN1	high: >33	126	126	100
SCAPER	mid: >23, <=33	1	126	0.793650793650794
SCAPER	high: >33	125	126	99.2063492063492
SCFD2	high: >33	128	128	100
SEPTIN9	high: >33	126	126	100
SESTD1	high: >33	128	128	100
SFMBT1	high: >33	128	128	100
SGCD	very low: <= 17	2	128	1.5625
SGCD	high: >33	126	128	98.4375
SHANK2	high: >33	128	128	100
SIGLEC14	high: >33	128	128	100
SIPA1L1	high: >33	128	128	100
SIRPB1	high: >33	128	128	100
SLC18A1	high: >33	128	128	100
SLC22A2	high: >33	128	128	100
SLC2A14	very low: <= 17	1	128	0.78125
SLC2A14	mid: >23, <=33	38	128	29.6875
SLC2A14	high: >33	89	128	69.53125
SLC35F4	high: >33	128	128	100
SLC39A11	high: >33	128	128	100
SLC4A4	mid: >23, <=33	2	128	1.5625
SLC4A4	high: >33	126	128	98.4375
SOCS5	high: >33	128	128	100
SPAG17	high: >33	128	128	100
SPATA31D4	very low: <= 17	2	128	1.5625
SPATA31D4	low: >17, <= 23	1	128	0.78125
SPATA31D4	mid: >23, <=33	13	128	10.15625
SPATA31D4	high: >33	112	128	87.5
SPATA45	high: >33	128	128	100
SPATA5	high: >33	128	128	100
SSU72L2	mid: >23, <=33	1	36	2.77777777777778
SSU72L2	high: >33	35	36	97.2222222222222
STOX1	high: >33	128	128	100
SUMF1	high: >33	128	128	100
TAF11L11	very low: <= 17	33	122	27.0491803278689
TAF11L11	low: >17, <= 23	4	122	3.27868852459016
TAF11L11	mid: >23, <=33	2	122	1.63934426229508
TAF11L11	high: >33	83	122	68.0327868852459
TAFA2	high: >33	128	128	100
TARP	mid: >23, <=33	3	128	2.34375
TARP	high: >33	125	128	97.65625
THEG	very low: <= 17	1	124	0.806451612903226
THEG	high: >33	123	124	99.1935483870968
THSD7B	very low: <= 17	2	126	1.58730158730159
THSD7B	high: >33	124	126	98.4126984126984
TIAM2	mid: >23, <=33	1	128	0.78125
TIAM2	high: >33	127	128	99.21875
TLR1	high: >33	128	128	100
TMEM132C	high: >33	128	128	100
TPPP	low: >17, <= 23	2	126	1.58730158730159
TPPP	mid: >23, <=33	11	126	8.73015873015873
TPPP	high: >33	113	126	89.6825396825397
TPSAB1	high: >33	2	2	100
TPTE2	high: >33	128	128	100
TRIM49C	very low: <= 17	3	20	15
TRIM49C	high: >33	17	20	85
TRIM64C	high: >33	128	128	100
TRPM3	high: >33	128	128	100
TTC28	low: >17, <= 23	1	126	0.793650793650794
TTC28	high: >33	125	126	99.2063492063492
TTC8	high: >33	128	128	100
TTLL2	high: >33	120	120	100
TUSC3	high: >33	128	128	100
TXNRD1	high: >33	128	128	100
UGT1A10	high: >33	128	128	100
UGT2B17	low: >17, <= 23	1	128	0.78125
UGT2B17	high: >33	127	128	99.21875
UGT2B28	mid: >23, <=33	15	128	11.71875
UGT2B28	high: >33	113	128	88.28125
ULK4	high: >33	128	128	100
UPF2	high: >33	128	128	100
USP14	very low: <= 17	32	126	25.3968253968254
USP14	low: >17, <= 23	45	126	35.7142857142857
USP14	mid: >23, <=33	11	126	8.73015873015873
USP14	high: >33	38	126	30.1587301587302
USP28	high: >33	128	128	100
VWDE	high: >33	128	128	100
WASHC2C	mid: >23, <=33	3	126	2.38095238095238
WASHC2C	high: >33	123	126	97.6190476190476
WDPCP	high: >33	128	128	100
WDR11	high: >33	126	126	100
WWOX	high: >33	128	128	100
ZAN	very low: <= 17	1	128	0.78125
ZAN	mid: >23, <=33	3	128	2.34375
ZAN	high: >33	124	128	96.875
ZBTB20	high: >33	128	128	100
ZNF146	very low: <= 17	42	112	37.5
ZNF146	low: >17, <= 23	1	112	0.892857142857143
ZNF146	mid: >23, <=33	1	112	0.892857142857143
ZNF146	high: >33	68	112	60.7142857142857
ZNF257	very low: <= 17	9	128	7.03125
ZNF257	mid: >23, <=33	3	128	2.34375
ZNF257	high: >33	116	128	90.625
ZNF385B	high: >33	128	128	100
ZNF626	low: >17, <= 23	1	128	0.78125
ZNF626	high: >33	127	128	99.21875
ZNF675	high: >33	126	126	100
ZNF844	high: >33	128	128	100
